"","id","label"
"1","AUS","Australia"
"2","AU1","New South Wales"
"3","AU101","Capital Region"
"4","AU103","Central West"
"5","AU104","Coffs Harbour - Grafton"
"6","AU105","Far West and Orana"
"7","AU106","Hunter Valley Exc Newcastle"
"8","AU107","Illawarra"
"9","AU108","Mid North Coast"
"10","AU109","Murray"
"11","AU110","New England and North West"
"12","AU111","Newcastle and Lake Macquarie"
"13","AU112","Richmond - Tweed"
"14","AU113","Riverina"
"15","AU114","Southern Highlands and Shoalhaven"
"16","AU1GS","Sydney"
"17","AU2","Victoria"
"18","AU201","Ballarat"
"19","AU202","Bendigo"
"20","AU203","Geelong"
"21","AU204","Hume"
"22","AU205","Latrobe - Gippsland"
"23","AU215","North West"
"24","AU216","Shepparton"
"25","AU217","Warrnambool and South West"
"26","AU2GM","Melbourne"
"27","AU3","Queensland"
"28","AU306","Cairns"
"29","AU307","Darling Downs - Maranoa"
"30","AU308","Fitzroy"
"31","AU309","Gold Coast"
"32","AU312","Mackay"
"33","AU315","Queensland - Outback"
"34","AU316","Sunshine Coast"
"35","AU317","Toowoomba"
"36","AU318","Townsville"
"37","AU319","Wide Bay"
"38","AU3GB","Brisbane"
"39","AU4","South Australia"
"40","AU405","Barossa - Yorke - Mid North"
"41","AU406","South Australia - Outback"
"42","AU407","South Australia - South East"
"43","AU4GA","Adelaide"
"44","AU5","Western Australia"
"45","AU501","Bunbury"
"46","AU509","Western Australia - Wheat Belt"
"47","AU508","Western Australia - Outback"
"48","AU5GP","Perth"
"49","AU6","Tasmania"
"50","AU601","Hobart"
"51","AU602","Launceston and North East"
"52","AU603","South East"
"53","AU604","West and North West"
"54","AU7","Northern Territory"
"55","AU701","Darwin"
"56","AU702","Northern Territory - Outback"
"57","AU8","Canberra region (ACT)"
"58","AU801","Australian Capital Territory"
"59","AUT","Austria"
"60","AT11","Burgenland"
"61","AT12","Lower Austria"
"62","AT13","Vienna"
"63","AT21","Carinthia"
"64","AT22","Styria"
"65","AT31","Upper Austria"
"66","AT32","Salzburg"
"67","AT33","Tyrol"
"68","AT34","Vorarlberg"
"69","BEL","Belgium"
"70","BE1","Brussels Capital Region"
"71","BE2","Flemish Region"
"72","BEL_EU2","Belgium - Non official grid (NUTS2)"
"73","BE10","Brussels-Capital Region"
"74","BE21","Antwerp"
"75","BE22","Limburg (BE)"
"76","BE23","East Flanders"
"77","BE24","Flemish Brabant"
"78","BE25","West Flanders"
"79","BE31","Walloon Brabant"
"80","BE32","Hainaut"
"81","BE33","Liège"
"82","BE34","Luxembourg (BE)"
"83","BE35","Namur"
"84","BE3","Walloon Region"
"85","CAN","Canada"
"86","CA10","Newfoundland and Labrador"
"87","CA11","Prince Edward Island"
"88","CA12","Nova Scotia"
"89","CA13","New Brunswick"
"90","CA24","Quebec"
"91","CA35","Ontario"
"92","CA46","Manitoba"
"93","CA47","Saskatchewan"
"94","CA48","Alberta"
"95","CA59","British Columbia"
"96","CA60","Yukon"
"97","CA61","Northwest Territories"
"98","CA62","Nunavut"
"99","CHL","Chile"
"100","CL01","Tarapacá"
"101","CL011","Iquique"
