"","id","label"
"1","AUS","Australia"
"2","AU1","New South Wales"
"3","AU2","Victoria"
"4","AU3","Queensland"
"5","AU4","South Australia"
"6","AU5","Western Australia"
"7","AU6","Tasmania"
"8","AU7","Northern Territory (NT)"
"9","AU8","Australian Capital Territory (ACT)"
"10","AUT","Austria"
"11","AT11","Burgenland (AT)"
"12","AT12","Lower Austria"
"13","AT13","Vienna"
"14","AT21","Carinthia"
"15","AT22","Styria"
"16","AT31","Upper Austria"
"17","AT32","Salzburg"
"18","AT33","Tyrol"
"19","AT34","Vorarlberg"
"20","BEL","Belgium"
"21","BE1","Brussels Capital Region"
"22","BE2","Flemish Region"
"23","BE3","Wallonia"
"24","CAN","Canada"
"25","CA10","Newfoundland and Labrador"
"26","CA11","Prince Edward Island"
"27","CA12","Nova Scotia"
"28","CA13","New Brunswick"
"29","CA24","Quebec"
"30","CA35","Ontario"
"31","CA46","Manitoba"
"32","CA47","Saskatchewan"
"33","CA48","Alberta"
"34","CA59","British Columbia"
"35","CA60","Yukon"
"36","CA61","Northwest Territories"
"37","CA62","Nunavut"
"38","CHL","Chile"
"39","CL01","Tarapacá"
"40","CL02","Antofagasta"
"41","CL03","Atacama"
"42","CL04","Coquimbo"
"43","CL05","Valparaíso"
"44","CL06","O'Higgins"
"45","CL07","Maule"
"46","CL08","Bío-Bío"
"47","CL09","Araucanía"
"48","CL10","Los Lagos"
"49","CL11","Aysén"
"50","CL12","Magallanes y Antártica"
"51","CL13","Santiago Metropolitan"
"52","CL14","Los Rios"
"53","CL15","Arica Y Parinacota"
"54","CZE","Czech Republic"
"55","CZ01","Prague"
"56","CZ02","Central Bohemian Region"
"57","CZ03","Southwest"
"58","CZ04","Northwest"
"59","CZ05","Northeast"
"60","CZ06","Southeast"
"61","CZ07","Central Moravia"
"62","CZ08","Moravia-Silesia"
"63","DNK","Denmark"
"64","DK01","Capital (DK)"
"65","DK02","Zealand"
"66","DK03","Southern Denmark"
"67","DK04","Central Jutland"
"68","DK05","Northern Jutland"
"69","EST","Estonia"
"70","EE00","Estonia"
"71","EE001","North Estonia"
"72","EE004","West Estonia"
"73","EE006","Central Estonia"
"74","EE007","Northeast Estonia"
"75","EE008","Southern Estonia"
"76","FIN","Finland"
"77","FI19","Western Finland"
"78","FI1B","Helsinki-Uusimaa"
"79","FI1C","Southern Finland"
"80","FI1D","Eastern and Northern Finland"
"81","FI20","Åland"
"82","FRA","France"
"83","FR10","Ile de France"
"84","FR21","Champagne-Ardenne"
"85","FR22","Picardy"
"86","FR23","Upper Normandy"
"87","FR24","Centre (FR)"
"88","FR25","Lower Normandy "
"89","FR26","Burgundy"
"90","FR30","Nord-Pas-de-Calais"
"91","FR41","Lorraine"
"92","FR42","Alsace "
"93","FR43","Franche-Comté"
"94","FR51","Pays de la Loire"
"95","FR52","Brittany"
"96","FR53","Poitou-Charentes"
"97","FR61","Aquitaine"
"98","FR62","Midi-Pyrénées"
"99","FR63","Limousin"
"100","FR71","Rhône-Alpes"
"101","FR72","Auvergne"
"102","FR81","Languedoc-Roussillon "
