"","REG_ID","ISC11","region","EARLY_LEAVERS_RATE_Y18T24","NEAC_SHARE_EA_Y25T64","NEAC_SHARE_EA_Y25T34"
"1","AU1","T","AU",11,NA,NA
"2","AU2","T","AU",8.7,NA,NA
"3","AU3","T","AU",12,NA,NA
"4","AU4","T","AU",14.7,NA,NA
"5","AU5","T","AU",14.7,NA,NA
"6","AU6","T","AU",19,NA,NA
"7","AU7","T","AU",21.5,NA,NA
"8","AU8","T","AU",7.8,NA,NA
"9","DE1","T","DE",7.8,NA,NA
"10","DE11","T","DE",8.3,NA,NA
"11","DE12","T","DE",7.1,NA,NA
"12","DE13","T","DE",9.8,NA,NA
"13","DE14","T","DE",5.4,NA,NA
"14","DE2","T","DE",6.3,NA,NA
"15","DE21","T","DE",6,NA,NA
"16","DE22","T","DE",5.4,NA,NA
"17","DE23","T","DE",0,NA,NA
"18","DE24","T","DE",7,NA,NA
"19","DE25","T","DE",8.6,NA,NA
"20","DE26","T","DE",5.8,NA,NA
"21","DE27","T","DE",7.1,NA,NA
"22","DE3","T","DE",13.5,NA,NA
"23","DE30","T","DE",13.5,NA,NA
"24","DE4","T","DE",9,NA,NA
"25","DE40","T","DE",9,NA,NA
"26","DE5","T","DE",14,NA,NA
"27","DE50","T","DE",14,NA,NA
"28","DE6","T","DE",11.7,NA,NA
"29","DE60","T","DE",11.7,NA,NA
"30","DE7","T","DE",9.7,NA,NA
"31","DE71","T","DE",10.2,NA,NA
"32","DE72","T","DE",6.7,NA,NA
"33","DE73","T","DE",10.9,NA,NA
"34","DE8","T","DE",9.9,NA,NA
"35","DE80","T","DE",9.9,NA,NA
"36","DE9","T","DE",10.6,NA,NA
"37","DE91","T","DE",12.1,NA,NA
"38","DE92","T","DE",10.5,NA,NA
"39","DE93","T","DE",10.9,NA,NA
"40","DE94","T","DE",9.5,NA,NA
"41","DEA","T","DE",11.2,NA,NA
"42","DEA1","T","DE",13.6,NA,NA
"43","DEA2","T","DE",11,NA,NA
"44","DEA3","T","DE",9.7,NA,NA
"45","DEA4","T","DE",8.8,NA,NA
"46","DEA5","T","DE",11,NA,NA
"47","DEB","T","DE",10.4,NA,NA
"48","DEB1","T","DE",11,NA,NA
"49","DEB2","T","DE",0,NA,NA
"50","DEB3","T","DE",10.3,NA,NA
"51","DEC","T","DE",11.9,NA,NA
"52","DEC0","T","DE",11.9,NA,NA
"53","DED","T","DE",6.8,NA,NA
"54","DED2","T","DE",5.8,NA,NA
"55","DED4","T","DE",7.6,NA,NA
"56","DED5","T","DE",7.4,NA,NA
"57","DEE","T","DE",9.3,NA,NA
"58","DEE0","T","DE",9.3,NA,NA
"59","DEF","T","DE",12.7,NA,NA
"60","DEF0","T","DE",12.7,NA,NA
"61","DEG","T","DE",6.1,NA,NA
"62","DEG0","T","DE",6.1,NA,NA
"63","FR1","T","FR",0,NA,NA
"64","FRB","T","FR",0,NA,NA
"65","FRC","T","FR",0,NA,NA
"66","FRD","T","FR",0,NA,NA
"67","FRE","T","FR",0,NA,NA
"68","FRF","T","FR",0,NA,NA
"69","FRG","T","FR",0,NA,NA
"70","FRH","T","FR",0,NA,NA
"71","FRI","T","FR",0,NA,NA
"72","FRJ","T","FR",0,NA,NA
"73","FRK","T","FR",0,NA,NA
"74","FRL","T","FR",0,NA,NA
"75","FRM","T","FR",0,NA,NA
"76","ITC1","T","IT",12.7,NA,NA
"77","ITC3","T","IT",13.6,NA,NA
"78","ITC4","T","IT",12.9,NA,NA
"79","ITF1","T","IT",9.6,NA,NA
"80","ITF2","T","IT",12.1,NA,NA
"81","ITF3","T","IT",19.7,NA,NA
"82","ITF4","T","IT",16.9,NA,NA
"83","ITF5","T","IT",12.3,NA,NA
"84","ITF6","T","IT",16.8,NA,NA
"85","ITG1","T","IT",24,NA,NA
"86","ITG2","T","IT",23.5,NA,NA
"87","ITH1","T","IT",13.1,NA,NA
"88","ITH2","T","IT",8.5,NA,NA
"89","ITH3","T","IT",8.4,NA,NA
"90","ITH4","T","IT",11.1,NA,NA
"91","ITH5","T","IT",13.2,NA,NA
"92","ITI1","T","IT",13.8,NA,NA
"93","ITI2","T","IT",9.1,NA,NA
"94","ITI3","T","IT",10.9,NA,NA
"95","ITI4","T","IT",12.5,NA,NA
"96","UKC","T","UK",12.1,NA,NA
"97","UKC1","T","UK",15,NA,NA
"98","UKC2","T","UK",10,NA,NA
"99","UKD","T","UK",13.4,NA,NA
"100","UKD1","T","UK",11.9,NA,NA
"101","UKD3","T","UK",13.4,NA,NA
"102","UKD4","T","UK",16.5,NA,NA
"103","UKD6","T","UK",8.6,NA,NA
"104","UKD7","T","UK",13.1,NA,NA
"105","UKE","T","UK",14.9,NA,NA
"106","UKE1","T","UK",9.5,NA,NA
"107","UKE2","T","UK",9.1,NA,NA
"108","UKE3","T","UK",19.5,NA,NA
"109","UKE4","T","UK",15.7,NA,NA
"110","UKF","T","UK",10.9,NA,NA
"111","UKF1","T","UK",12.4,NA,NA
"112","UKF2","T","UK",9,NA,NA
"113","UKF3","T","UK",11.7,NA,NA
"114","UKG","T","UK",16.7,NA,NA
"115","UKG1","T","UK",16.3,NA,NA
"116","UKG2","T","UK",14.4,NA,NA
"117","UKG3","T","UK",17.7,NA,NA
"118","UKH","T","UK",12.6,NA,NA
"119","UKH1","T","UK",14,NA,NA
"120","UKH2","T","UK",9.8,NA,NA
"121","UKH3","T","UK",13.1,NA,NA
"122","UKI","T","UK",6,NA,NA
