"","REG_ID","LIFE_EXP","BB_ACC","AIR_POL","VOTERS_SH","ROOMS_PC","SUBJ_SOC_SUPP","STD_MORT","EMP_RA","EDU38_SH","HOMIC_RA","UNEM_RA","INCOME_DISP","SUBJ_LIFE_SAT","SUBJ_PERC_CORR","ISC11","region","EARLY_LEAVERS_RATE_Y18T24","NEAC_SHARE_EA_Y25T64","NEAC_SHARE_EA_Y25T34"
"1","AU1",82.2,75,2.3,94,2.2,94.1,6.6,73.1,82.1,1.2,5.7,27742,7.2,39.2,"T","AU",11,NA,NA
"2","AU2",82.7,77,4.4,94,2.3,95.2,6.4,73.7,82.4,0.8,6.6,24513,7.4,30.7,"T","AU",8.7,NA,NA
"3","AU3",81.9,78,2,94.2,2.4,93.4,7,74.9,80.8,0.8,6.4,26102,7.3,40.2,"T","AU",12,NA,NA
"4","AU4",82.2,75,3,92.8,2.4,93.4,7,72.9,77.5,1.1,6.7,25435,7.4,31.1,"T","AU",14.7,NA,NA
"5","AU5",82.6,79,2.6,94.3,2.5,93,6.5,77.8,79.6,1.3,5.2,31803,7.2,33.4,"T","AU",14.7,NA,NA
"6","AU6",80.7,72,1.7,95.1,2.4,93.4,9.1,72.2,72.4,1.2,7.2,22907,7.7,29,"T","AU",19,NA,NA
"7","AU7",77.1,79,3.3,82.4,1.9,99.4,9.9,74.9,82.5,7,4,32966,7,34.8,"T","AU",21.5,NA,NA
"8","AU8",83.4,85,3.5,94.9,2.4,96.3,6.9,79.6,91,0,4.2,50393,7.7,18.9,"T","AU",7.8,NA,NA
"9","DE1",81.9,85,14.8,74.3,2.1,93.9,7.2,78.6,85.2,0.7,3.1,25288,6.9,51.5,"T","DE",7.8,NA,NA
"10","DE2",81.3,86,13.5,70.2,2.2,94,7.7,79,87.1,0.6,2.9,26203,6.9,57,"T","DE",6.3,NA,NA
"11","DE3",80.5,88,14.8,72.4,2,94.5,7.8,70.9,86.3,1.2,9.8,20244,6.4,52.7,"T","DE",13.5,NA,NA
"12","DE4",80,78,14.6,68.4,2.2,91.8,8.3,75.5,93.8,1.6,6.7,20746,6.2,52.5,"T","DE",9,NA,NA
"13","DE5",79.5,87,13.3,68.8,2.2,93.9,8.5,70.3,82.1,1.5,6.6,23228,6.9,46.7,"T","DE",14,NA,NA
