"","REG_ID","IND","MEAS","TIME_FORMAT","UNIT","POWERCODE","obsTime","obsValue"
"1","NO07","BB_ACC","VALUE","P1Y","PC","0","2000",55
"2","NO07","BB_ACC","VALUE","P1Y","PC","0","2014",90
"3","TR41","AIR_POL","VALUE","P1Y","MICRO_M3","0","2000",14.8
"4","TR41","AIR_POL","VALUE","P1Y","MICRO_M3","0","2014",14.5
"5","US24","VOTERS_SH","VALUE","P1Y","PC","0","2000",61.1
"6","US24","VOTERS_SH","VALUE","P1Y","PC","0","2014",65.1
"7","CZ01","VOTERS_SH","VALUE","P1Y","PC","0","2000",60
"8","CZ01","VOTERS_SH","VALUE","P1Y","PC","0","2014",64.1
"9","PL63","BB_ACC","VALUE","P1Y","PC","0","2014",78.8
"10","TRB2","AIR_POL","VALUE","P1Y","MICRO_M3","0","2000",19.4
"11","TRB2","AIR_POL","VALUE","P1Y","MICRO_M3","0","2014",18.6
"12","AT31","AIR_POL","VALUE","P1Y","MICRO_M3","0","2000",19.1
"13","AT31","AIR_POL","VALUE","P1Y","MICRO_M3","0","2014",13.7
"14","AU4","LIFE_EXP","VALUE","P1Y","YR","0","2000",79.8
"15","AU4","LIFE_EXP","VALUE","P1Y","YR","0","2014",82.2
"16","US06","AIR_POL","VALUE","P1Y","MICRO_M3","0","2000",9.9
"17","US06","AIR_POL","VALUE","P1Y","MICRO_M3","0","2014",6.2
"18","CL01","AIR_POL","VALUE","P1Y","MICRO_M3","0","2000",21.2
"19","CL01","AIR_POL","VALUE","P1Y","MICRO_M3","0","2014",11.8
"20","ME25","BB_ACC","VALUE","P1Y","PC","0","2000",25.8
"21","ME25","BB_ACC","VALUE","P1Y","PC","0","2014",38.1
"22","US31","AIR_POL","VALUE","P1Y","MICRO_M3","0","2000",11.6
"23","US31","AIR_POL","VALUE","P1Y","MICRO_M3","0","2014",8.6
"24","KR06","AIR_POL","VALUE","P1Y","MICRO_M3","0","2000",20.6
"25","KR06","AIR_POL","VALUE","P1Y","MICRO_M3","0","2014",21.7
"26","FI1C","BB_ACC","VALUE","P1Y","PC","0","2014",88
"27","DK05","BB_ACC","VALUE","P1Y","PC","0","2000",67
"28","DK05","BB_ACC","VALUE","P1Y","PC","0","2014",80
"29","ITH4","AIR_POL","VALUE","P1Y","MICRO_M3","0","2000",23.3
"30","ITH4","AIR_POL","VALUE","P1Y","MICRO_M3","0","2014",20.5
"31","ISR","AIR_POL","VALUE","P1Y","MICRO_M3","0","2000",19.7
"32","ISR","AIR_POL","VALUE","P1Y","MICRO_M3","0","2014",20.4
"33","CL13","BB_ACC","VALUE","P1Y","PC","0","2000",37
"34","CL13","BB_ACC","VALUE","P1Y","PC","0","2014",50
"35","CA47","VOTERS_SH","VALUE","P1Y","PC","0","2000",62.3
"36","CA47","VOTERS_SH","VALUE","P1Y","PC","0","2014",72.1
"37","TR61","LIFE_EXP","VALUE","P1Y","YR","0","2014",76
"38","AU8","VOTERS_SH","VALUE","P1Y","PC","0","2000",95.1
"39","AU8","VOTERS_SH","VALUE","P1Y","PC","0","2014",94.9
"40","UKC","LIFE_EXP","VALUE","P1Y","YR","0","2000",76.8
"41","UKC","LIFE_EXP","VALUE","P1Y","YR","0","2014",80
"42","US41","VOTERS_SH","VALUE","P1Y","PC","0","2000",66.6
"43","US41","VOTERS_SH","VALUE","P1Y","PC","0","2014",67.6
"44","FI19","VOTERS_SH","VALUE","P1Y","PC","0","2000",77.4
"45","FI19","VOTERS_SH","VALUE","P1Y","PC","0","2014",68.4
"46","CL07","LIFE_EXP","VALUE","P1Y","YR","0","2000",75.9
"47","CL07","LIFE_EXP","VALUE","P1Y","YR","0","2014",78.2
"48","TR61","AIR_POL","VALUE","P1Y","MICRO_M3","0","2000",17.6
"49","TR61","AIR_POL","VALUE","P1Y","MICRO_M3","0","2014",14.7
"50","JPJ","VOTERS_SH","VALUE","P1Y","PC","0","2000",64.9
"51","JPJ","VOTERS_SH","VALUE","P1Y","PC","0","2014",50.9
"52","US37","LIFE_EXP","VALUE","P1Y","YR","0","2000",76.3
"53","US37","LIFE_EXP","VALUE","P1Y","YR","0","2014",77.8
"54","DE5","LIFE_EXP","VALUE","P1Y","YR","0","2000",77.7
"55","DE5","LIFE_EXP","VALUE","P1Y","YR","0","2014",79.5
"56","UKI","BB_ACC","VALUE","P1Y","PC","0","2000",54
"57","UKI","BB_ACC","VALUE","P1Y","PC","0","2014",92
"58","DEE","BB_ACC","VALUE","P1Y","PC","0","2000",40
"59","DEE","BB_ACC","VALUE","P1Y","PC","0","2014",84
"60","ES30","AIR_POL","VALUE","P1Y","MICRO_M3","0","2000",11.7
"61","ES30","AIR_POL","VALUE","P1Y","MICRO_M3","0","2014",8.3
"62","SE21","BB_ACC","VALUE","P1Y","PC","0","2000",75
"63","SE21","BB_ACC","VALUE","P1Y","PC","0","2014",85
"64","ITF1","LIFE_EXP","VALUE","P1Y","YR","0","2000",80.5
"65","ITF1","LIFE_EXP","VALUE","P1Y","YR","0","2014",82.9
"66","US44","BB_ACC","VALUE","P1Y","PC","0","2000",59
"67","US44","BB_ACC","VALUE","P1Y","PC","0","2014",82.9
"68","ES53","LIFE_EXP","VALUE","P1Y","YR","0","2000",78.6
"69","ES53","LIFE_EXP","VALUE","P1Y","YR","0","2014",82.9
"70","FR21","AIR_POL","VALUE","P1Y","MICRO_M3","0","2000",15.6
"71","FR21","AIR_POL","VALUE","P1Y","MICRO_M3","0","2014",13.5
"72","EE006","AIR_POL","VALUE","P1Y","MICRO_M3","0","2000",9.1
"73","EE006","AIR_POL","VALUE","P1Y","MICRO_M3","0","2014",7.2
"74","ME02","LIFE_EXP","VALUE","P1Y","YR","0","2000",72.3
"75","ME02","LIFE_EXP","VALUE","P1Y","YR","0","2014",73.8
"76","UKM","VOTERS_SH","VALUE","P1Y","PC","0","2000",57.4
"77","UKM","VOTERS_SH","VALUE","P1Y","PC","0","2014",71.1
"78","KOR","AIR_POL","VALUE","P1Y","MICRO_M3","0","2000",25.4
"79","KOR","AIR_POL","VALUE","P1Y","MICRO_M3","0","2014",23.7
"80","ME29","VOTERS_SH","VALUE","P1Y","PC","0","2000",62
"81","ME29","VOTERS_SH","VALUE","P1Y","PC","0","2014",63.9
"82","AT11","BB_ACC","VALUE","P1Y","PC","0","2000",29
"83","AT11","BB_ACC","VALUE","P1Y","PC","0","2014",80
"84","IL06","LIFE_EXP","VALUE","P1Y","YR","0","2000",77.1
"85","IL06","LIFE_EXP","VALUE","P1Y","YR","0","2014",80.8
"86","FI20","AIR_POL","VALUE","P1Y","MICRO_M3","0","2000",6.6
"87","FI20","AIR_POL","VALUE","P1Y","MICRO_M3","0","2014",4.1
"88","HU32","BB_ACC","VALUE","P1Y","PC","0","2000",36
"89","HU32","BB_ACC","VALUE","P1Y","PC","0","2014",68
"90","CZ08","LIFE_EXP","VALUE","P1Y","YR","0","2000",74
"91","CZ08","LIFE_EXP","VALUE","P1Y","YR","0","2014",77
"92","DEC","VOTERS_SH","VALUE","P1Y","PC","0","2000",78.3
"93","DEC","VOTERS_SH","VALUE","P1Y","PC","0","2014",72.5
"94","ME11","BB_ACC","VALUE","P1Y","PC","0","2000",13.9
"95","ME11","BB_ACC","VALUE","P1Y","PC","0","2014",27.5
"96","FR43","LIFE_EXP","VALUE","P1Y","YR","0","2000",79.4
"97","FR43","LIFE_EXP","VALUE","P1Y","YR","0","2014",82.4
"98","SVN","LIFE_EXP","VALUE","P1Y","YR","0","2000",77.4
"99","SVN","LIFE_EXP","VALUE","P1Y","YR","0","2014",80.4
"100","US34","LIFE_EXP","VALUE","P1Y","YR","0","2000",77.6
"101","US34","LIFE_EXP","VALUE","P1Y","YR","0","2014",80.3
"102","FR83","AIR_POL","VALUE","P1Y","MICRO_M3","0","2000",11.9
"103","FR83","AIR_POL","VALUE","P1Y","MICRO_M3","0","2014",6.9
"104","ITF1","BB_ACC","VALUE","P1Y","PC","0","2000",15
"105","ITF1","BB_ACC","VALUE","P1Y","PC","0","2014",69
"106","US10","LIFE_EXP","VALUE","P1Y","YR","0","2000",77
"107","US10","LIFE_EXP","VALUE","P1Y","YR","0","2014",78.4
"108","US49","AIR_POL","VALUE","P1Y","MICRO_M3","0","2000",6.5
"109","US49","AIR_POL","VALUE","P1Y","MICRO_M3","0","2014",3.6
"110","TR33","BB_ACC","VALUE","P1Y","PC","0","2014",32
"111","IS02","VOTERS_SH","VALUE","P1Y","PC","0","2000",88.6
"112","IS02","VOTERS_SH","VALUE","P1Y","PC","0","2014",82.7
"113","JPF","BB_ACC","VALUE","P1Y","PC","0","2000",54
"114","JPF","BB_ACC","VALUE","P1Y","PC","0","2014",74
"115","PT30","AIR_POL","VALUE","P1Y","MICRO_M3","0","2000",8
"116","PT30","AIR_POL","VALUE","P1Y","MICRO_M3","0","2014",5
"117","CH05","AIR_POL","VALUE","P1Y","MICRO_M3","0","2000",15
"118","CH05","AIR_POL","VALUE","P1Y","MICRO_M3","0","2014",13.8
"119","USA","BB_ACC","VALUE","P1Y","PC","0","2000",50
"120","USA","BB_ACC","VALUE","P1Y","PC","0","2014",78.1
"121","ES11","VOTERS_SH","VALUE","P1Y","PC","0","2000",65
"122","ES11","VOTERS_SH","VALUE","P1Y","PC","0","2014",61.5
"123","FR24","LIFE_EXP","VALUE","P1Y","YR","0","2000",79.5
"124","FR24","LIFE_EXP","VALUE","P1Y","YR","0","2014",82.3
"125","SE32","VOTERS_SH","VALUE","P1Y","PC","0","2000",78.8
"126","SE32","VOTERS_SH","VALUE","P1Y","PC","0","2014",85.8
"127","NO01","LIFE_EXP","VALUE","P1Y","YR","0","2000",78.7
"128","NO01","LIFE_EXP","VALUE","P1Y","YR","0","2014",82.3
"129","IL03","AIR_POL","VALUE","P1Y","MICRO_M3","0","2000",19.4
"130","IL03","AIR_POL","VALUE","P1Y","MICRO_M3","0","2014",19.6
"131","ITF5","VOTERS_SH","VALUE","P1Y","PC","0","2000",75.1
"132","ITF5","VOTERS_SH","VALUE","P1Y","PC","0","2014",69.5
"133","PL33","AIR_POL","VALUE","P1Y","MICRO_M3","0","2000",23.3
"134","PL33","AIR_POL","VALUE","P1Y","MICRO_M3","0","2014",13.7
"135","ME22","LIFE_EXP","VALUE","P1Y","YR","0","2000",73.7
"136","ME22","LIFE_EXP","VALUE","P1Y","YR","0","2014",75.2
"137","CL11","VOTERS_SH","VALUE","P1Y","PC","0","2000",73.3
"138","CL11","VOTERS_SH","VALUE","P1Y","PC","0","2014",41.7
"139","IE01","BB_ACC","VALUE","P1Y","PC","0","2000",27
"140","IE01","BB_ACC","VALUE","P1Y","PC","0","2014",74
"141","US28","AIR_POL","VALUE","P1Y","MICRO_M3","0","2000",11.1
"142","US28","AIR_POL","VALUE","P1Y","MICRO_M3","0","2014",5.9
"143","ES24","VOTERS_SH","VALUE","P1Y","PC","0","2000",71.4
"144","ES24","VOTERS_SH","VALUE","P1Y","PC","0","2014",72.6
"145","CA46","BB_ACC","VALUE","P1Y","PC","0","2000",57.7
"146","CA46","BB_ACC","VALUE","P1Y","PC","0","2014",81.3
"147","TRB1","VOTERS_SH","VALUE","P1Y","PC","0","2000",73.7
"148","TRB1","VOTERS_SH","VALUE","P1Y","PC","0","2014",85.6
"149","SE11","VOTERS_SH","VALUE","P1Y","PC","0","2000",80.9
"150","SE11","VOTERS_SH","VALUE","P1Y","PC","0","2014",85.7
"151","US23","BB_ACC","VALUE","P1Y","PC","0","2000",48
"152","US23","BB_ACC","VALUE","P1Y","PC","0","2014",79.2
"153","AT13","AIR_POL","VALUE","P1Y","MICRO_M3","0","2000",24.4
"154","AT13","AIR_POL","VALUE","P1Y","MICRO_M3","0","2014",15.9
"155","PL12","VOTERS_SH","VALUE","P1Y","PC","0","2000",48.2
"156","PL12","VOTERS_SH","VALUE","P1Y","PC","0","2014",58.7
"157","FR61","VOTERS_SH","VALUE","P1Y","PC","0","2000",73.3
"158","FR61","VOTERS_SH","VALUE","P1Y","PC","0","2014",83.1
"159","CA10","LIFE_EXP","VALUE","P1Y","YR","0","2000",77.4
"160","CA10","LIFE_EXP","VALUE","P1Y","YR","0","2014",79.5
"161","AT34","LIFE_EXP","VALUE","P1Y","YR","0","2000",79.6
"162","AT34","LIFE_EXP","VALUE","P1Y","YR","0","2014",82
"163","SE33","AIR_POL","VALUE","P1Y","MICRO_M3","0","2000",3.9
"164","SE33","AIR_POL","VALUE","P1Y","MICRO_M3","0","2014",3.5
"165","JPN","LIFE_EXP","VALUE","P1Y","YR","0","2000",81.2
"166","JPN","LIFE_EXP","VALUE","P1Y","YR","0","2014",83
"167","ES13","BB_ACC","VALUE","P1Y","PC","0","2000",41
"168","ES13","BB_ACC","VALUE","P1Y","PC","0","2014",72
"169","US56","LIFE_EXP","VALUE","P1Y","YR","0","2000",76.6
"170","US56","LIFE_EXP","VALUE","P1Y","YR","0","2014",78.3
"171","ME16","AIR_POL","VALUE","P1Y","MICRO_M3","0","2000",15.6
"172","ME16","AIR_POL","VALUE","P1Y","MICRO_M3","0","2014",14.8
"173","US17","BB_ACC","VALUE","P1Y","PC","0","2000",51
"174","US17","BB_ACC","VALUE","P1Y","PC","0","2014",79.3
"175","CZ02","AIR_POL","VALUE","P1Y","MICRO_M3","0","2000",21.5
"176","CZ02","AIR_POL","VALUE","P1Y","MICRO_M3","0","2014",16.6
"177","FIN","BB_ACC","VALUE","P1Y","PC","0","2000",53
"178","FIN","BB_ACC","VALUE","P1Y","PC","0","2014",89
"179","US40","BB_ACC","VALUE","P1Y","PC","0","2000",38
"180","US40","BB_ACC","VALUE","P1Y","PC","0","2014",71.1
"181","ITH1","AIR_POL","VALUE","P1Y","MICRO_M3","0","2000",17.1
"182","ITH1","AIR_POL","VALUE","P1Y","MICRO_M3","0","2014",16.6
"183","ME32","VOTERS_SH","VALUE","P1Y","PC","0","2000",60.7
"184","ME32","VOTERS_SH","VALUE","P1Y","PC","0","2014",61.4
"185","FR63","BB_ACC","VALUE","P1Y","PC","0","2014",72
"186","KR03","AIR_POL","VALUE","P1Y","MICRO_M3","0","2000",22
"187","KR03","AIR_POL","VALUE","P1Y","MICRO_M3","0","2014",22
"188","ME09","VOTERS_SH","VALUE","P1Y","PC","0","2000",70.6
"189","ME09","VOTERS_SH","VALUE","P1Y","PC","0","2014",67.2
